Name,AI custom autofill,AI summary,Approval Pathway,Country,Country1,Date,Document Created,Document Updated,Entrepreneurial Founder,Founding Shock,Individuals,Predecessor,Published,Region,Related to UK WWII (Column),Source,Successor,Tags,URL,Unit Created,Unit Dissolved
No. 1 Commando,"- Unit Created: June 13, 1940
- Redesignated as No. 1 Commando: June 14, 1940
- Unit Dissolved: July 27, 1940
- Reformed as No. 1 Commando: March 5, 1941
- Early Raids: August 27-28, 1941, and April 2-7, 1942
- First to wear the green beret in battle: November 1942
- Active service in Burma: September 1944
- Disbanded: February 1947","No. 1 Commando was formed on June 13, 1940, from personnel of Independent Companies and was redesignated on June 14, 1940. It participated in early raids and became the first unit to wear the green beret in battle during North African operations. The unit later served in the Far East, notably in Burma, and was disbanded in February 1947 after policing operations in Hong Kong.",,UK,"ENG, GB, UK",,"March 4, 2019 8:45 PM","June 21, 2024 9:22 AM",,,,"British Special Forces, Independent Companies, Special Service Battalions",,"Burma, North Africa, Southeast Asia",No 1 Commando (https://www.notion.so/No-1-Commando-ae904d92cc7846108129b17b9c8ad34a?pvs=21),Commando Veterans Archive,"1/5 Commando, Marine Corps Amphibious Reconnaissance Company, Navy Scouts and Raiders","Commando, UK, WWII",http://www.commandoveterans.org/1Commando,"June 13, 1940","July 27, 1940"
No. 2 Commando,"- June 22, 1940: Formation of the first No. 2 Commando as a parachute unit.
- November 21, 1940: Redesignation as 11 Special Air Service Battalion.
- February 26, 1941: Establishment of a new No. 2 Commando from the 1st Special Service Battalion.
- September 1941: No. 2 Commando becomes the 1st Parachute Battalion.
- April 23, 1943: Official order for the establishment of the 6th Airborne Division.
- June 6, 1944: 6th Airborne Division's first major operation during the Normandy landings.
- September 17, 1944: Involvement of the 1st Airborne Division in Operation Market Garden at Arnhem.
- May 1945: End of the war and the 1st Airborne Division's disbandment in November 1945.","No. 2 Commando was formed in 1940 as a British parachute unit, later becoming the 11th Special Air Service Battalion. It played a significant role in WWII, evolving into a key airborne force, participating in major operations like the Normandy landings and Arnhem, and ultimately contributing to the development of British airborne divisions.",,UK,"ENG, GB, UK",,"March 4, 2019 8:45 PM","May 27, 2025 6:03 AM",,,,"1st Ranger Battalion, 1st Special Service Battalion, British Airborne Forces, No 8 Commando, Royal Marines Boom Patrol Detachment, Special Operations Executive",,"France, UK, Western Europe",No 2 Commando (https://www.notion.so/No-2-Commando-947c3a50d1024bfdaa4d6cc9f7b36b1c?pvs=21),Commando Veterans Archive,"1st Special Air Service Brigade, Airborne Commando Brigade, British Parachute Regiment","Commando, UK, WWII",http://www.commandoveterans.org/2Commando,"June 22, 1940",
No. 3 Commando,"- Formation of No. 3 Commando: June 23, 1940
- First action (Operation Ambassador): July 14-15, 1940
- Reorganization into 4th Special Service Battalion: October 24, 1940
- Reorganization back to individual Commando units: February 26, 1941
- Operation Claymore in the Lofoton Islands: March 1941
- Vaagso 'Archery' operation: December 27, 1941
- St Nazaire operation (Operation Chariot): Date unspecified
- Dieppe operation: August 19, 1942
- Operation Husky (Invasion of Sicily): July 10, 1943
- Operation Devon at Termoli: Date unspecified
- Major action at the river Orne after D-Day: Date unspecified
- Planned invasion of the Japanese mainland: June 1945
- Disbandment of No. 3 Commando: November 1945","No. 3 Commando was a British Army unit formed during World War II. They saw action in various operations, including raids on Guernsey, the Lofoten Islands, Vaagso, St Nazaire, Dieppe, Sicily, Termoli, Normandy, and the river crossings of Maas, Weser, Aller, and Elbe. The Commando was disbanded in November 1945.",,UK,"BRITAIN, Europe, UK",,"March 4, 2019 8:46 PM","April 10, 2024 3:51 AM",,,,"Army Commando’s Special Boat Section, No. 2 Commando, No. 4 Commando",,"France, Italy, Western Europe",No 3 Commando (https://www.notion.so/No-3-Commando-c0a14a40494e46d6910357eed9e68435?pvs=21),Commando Veterans Archive,"4th Special Service Battalion, British Special Operations Group, UK Special Forces Command","Commando, UK, WWII",http://www.commandoveterans.org/3Commando,,
"No. 4 Commando ","- Formation of No. 4 Commando: June 23, 1941
- Commencement of operations: July 15, 1941
- Change from Special Service Battalions to full Commando: February 26, 1941
- Operation Claymore in the Lofoton Islands: March 4, 1941
- Operation Abercrombie at Hardelot Village: April 21/22, 1942
- Dieppe raid: August 19, 1942
- D-Day objectives for No. 4 Commando: June 6, 1944
- Operation Infatuate (landings and assault on Flushing): November 1-8, 1944
- Reinforcement of No. 4 Commando from Nos. 3 and 6 Commandos: June 1945
- Disbandment of the Army Commandos: September 1945","No. 4 Commando, a unit of the UK during WWII, was formed in 1941 and participated in various operations including the Dieppe raid and the Normandy invasion. They were known for their successful assault on a gun battery at Varengeville and their role in the liberation of Ouistreham. The Commando was later disbanded along with other Army Commandos.",,UK,"AUS, CAN, UK",,"March 4, 2019 8:46 PM","April 10, 2024 3:51 AM",,,,"Army Commando’s Special Boat Section, British Army Commandos, Combined Operations Command, Independent Companies, No. 2 Special Service Battalion",,"France, Northwest Europe, Western Europe",No 4 Commando (https://www.notion.so/No-4-Commando-e8ccde0cb2e549cebb91ba9d3c1d6f31?pvs=21),Commando Veterans Archive,"British Special Operations Command, Joint Special Operations Command, Royal Marine Commandos","Commando, UK, WWII",http://www.commandoveterans.org/4Commando,,
No. 5 Commando,"Key Dates:
- Formation: July 18, 1940
- First Recorded Raid: August 30-31, 1941
- Operation Chariot: March 28, 1942
- Participation in Operation Ironclad: March 23, 1942
- Restructuring into 4 Special Service Brigades: August 1943
- Sailing for India: November 1943
- Command Change: September 1944
- Disbandment: March 23, 1946","No. 5 Commando was a unit formed in the UK during World War II. It participated in various raids and operations, including Operation Chariot and Operation Ironclad. After the war, the commando was disbanded in March 1946.",,UK,"British, ENGLAND, UK",,"March 4, 2019 8:46 PM","April 10, 2024 3:51 AM",,,,"1st Ranger Battalion, 2nd Special Service Brigade, Royal Marine Commandos",,"Burma, India, UK",No 5 Commando (https://www.notion.so/No-5-Commando-0f54ee9ddb6144c380ca813dfb88a265?pvs=21),Commando Veterans Archive,"1/5 Commando, 3 Special Service Brigade, 4 Special Service Brigades","Commando, UK, WWII",http://www.commandoveterans.org/5Commando,"July 18, 1940","March 23, 1946"
No. 6 Commando,"- Formation: 23rd June 1940
- Operation ‘Kitbag’: 11th December 1941 (aborted)
- Operation Torch: November 1942
- D-Day (Overlord): June 1944
- Disbandment: 19th November 1945","No. 6 Commando was a unit formed during World War II under the command of Lt.Col T. Fetherstonehaugh. It participated in various operations, including Operation Torch and Operation Overlord. The commando fought across Europe and eventually reached Germany before being disbanded along with other wartime Commando units.",,UK,"British, ENGLAND, UK",,"March 4, 2019 8:47 PM","April 10, 2024 3:51 AM",,,,"No 4 Commando, No 5 Commando, No 7 Commando",,"Northern Europe, UK, Western Europe",No 6 Commando (https://www.notion.so/No-6-Commando-40ca9312f99c49d89f0db7cd7151bddb?pvs=21),Commando Veterans Archive,"British Joint Special Forces, British Special Operations Group, UK Elite Raiding Force","Commando, UK, WWII",http://www.commandoveterans.org/6Commando,,
No. 7 Commando,"Key dates from the text include:
- Formation of No. 7 Commando: July 1940
- Move to Girvan, Scotland: December 1940
- Embarkation for the Middle East: January 31, 1941
- Operations at Bardia: April 19, 1941
- Evacuation from Crete: Date unspecified, during the German invasion.",No. 7 Commando was a UK commando unit formed during WWII. They underwent training in various locations before finally coming together in Felixstowe. They later moved to Girvan in Scotland and embarked for the Middle East. They participated in operations in Bardia and Crete before being disbanded.,,UK,"BRITAIN, ENGLAND, UK",,"March 4, 2019 8:47 PM","April 10, 2024 3:51 AM",,,,"1st Ranger Battalion, 1st Special Service Battalion, 2nd Special Service Brigade, No 8 Commando",,"Middle East, North Africa, Scotland",No 7 Commando (https://www.notion.so/No-7-Commando-07b69400ea6e4705b4a9ef6e8914f6c8?pvs=21),Commando Veterans Archive,"British Special Operations Forces, Commando Special Operations Group, UK Joint Task Force","Commando, UK, WWII",http://www.commandoveterans.org/7Commando,,
No. 8 Commando,"- Formation Date: June 23, 1940
- Full Strength Achieved: September 1940
- Reorganization into 2 Companies: October 24, 1940
- Reorganization back to Individual Units Authorized: February 26, 1941
- Integration into Layforce: January 31/February 1, 1941","No. 8 Commando, also known as No 8 (Guards) Commando, was formed in June 1940 and consisted mostly of members from the various Guards Brigades. It was later reorganized into 2 companies of the 4th Special Service Battalion and then became part of Layforce. After the Commando was disbanded, former members joined other units such as the Long Range Desert Group, Special Boat Squadron, and L Detachment Special Air Service Regiment.",,UK,"AUS, CAN, UK",,"March 4, 2019 8:47 PM","April 10, 2024 3:51 AM",,,,"4th Special Service Battalion, Layforce Commando, No. 8 Commando",,"Middle East, North Africa, UK",No 8 Commando (https://www.notion.so/No-8-Commando-3a06478c3d1c4b06ae9cec549bac7516?pvs=21),Commando Veterans Archive,"L Detachment Special Air Service Regiment, Long Range Desert Group, Special Boat Squadron","Commando, UK, WWII",http://www.commandoveterans.org/8Commando,,
No. 9 Commando,"- Autumn 1940: Original members of No.9 Commando formed from No’s 6 & 7 independent companies under No.2 Special Service Battalion.
- November 22-23, 1941: First operational raid (Operation Sunstar) on the French coast at Houlgate.
- March 1942: Participated in the St. Nazaire raid.
- March 1943: Returned to the UK for refitting after being in Gibraltar.
- November 1943: Arrived in the Mediterranean and engaged in actions on the islands of Tremiti and Pianosa.
- December 1943: Involved in Operation Partridge in the river Garigliano area.
- Early months of 1944: Suffered heavy losses at Monte Ornito and Anzio.
- May 1944: Took part in Operation Darlington 11.
- August 1944: Conducted Operation Gradient.
- April 1945: Last involvement at Commachio and Argenta.
- 1946: Disbandment of No. 9 Commando along with other Army Commando units.","No. 9 Commando was a UK unit during WWII. It originated from No's 6 & 7 independent companies and participated in various operations, including Operation Sunstar, the St. Nazaire raid, and Operation Partridge. The Commando suffered heavy losses but continued to operate in Greece until its disbandment in 1946.",,UK,"BRITAIN, ENGLAND, GB, UK",,"March 4, 2019 8:48 PM","April 10, 2024 3:51 AM",,,,"No. 2 Special Service Battalion, No. 6 Independent Company, No. 7 Independent Company",,"Mediterranean, North Africa, Southern Europe",No 9 Commando (https://www.notion.so/No-9-Commando-e37604f3aafb4b40b42cd04100b30330?pvs=21),Commando Veterans Archive,"British Special Operations Forces, Royal Marine Commando Units, UK Special Forces","Commando, UK, WWII",http://www.commandoveterans.org/9Commando,,
No. 10 Commando,"- Formation of No. 10 Commando: Date not specified in the text.
- Commanding Officer until spring 1944: Lt. Col. Dudley Lister MC.
- Involvement in the Normandy operations: Date not specified in the text.
- Post-Normandy operations: Involvement in the push to Germany and liberation of occupied territories.","No. 10 Commando, also known as No 10 (Inter Allied) Commando, was a unique fighting unit during World War II. It consisted of allied and disaffected enemy personnel and refugees from various countries. Led by Lt. Col. Dudley Lister MC, the Commando had troops from France, the Netherlands, Belgium, Norway, Poland, and Yugoslavia. Despite not conducting many raids under their own name, No. 10 Commando gained a reputation for their fierce and dedicated fighting ability. They played a significant role in the liberation of occupied territories and the push towards Germany.",,UK,"FR, NO, UK",,"March 4, 2019 8:48 PM","April 10, 2024 3:51 AM",,,,"1st Ranger Battalion, 1st Special Service Brigade, No 8 Commando",,"Central Europe, Scandinavia, Western Europe",No 10 Commando (https://www.notion.so/No-10-Commando-4ecc986fa82b48b9a94bca8dd3c3e679?pvs=21),Commando Veterans Archive,"Joint Allied Special Operations Group, Marine Corps Amphibious Reconnaissance Company, Special Operations Executive (SOE)","Commando, UK, WWII",http://www.commandoveterans.org/10Commando,,
No. 11 Commando,"- Formation Date: June 23, 1940
- First Task: Operation Exporter (invasion of Vichy French Syria) - June 8, 1941
- Operation Flipper: Launched by Lt.Col Geoffrey Keyes (specific date not mentioned, but after the raid on Rommel's HQ)
- Disbandment: No. 11 Commando was disbanded due to depleted manpower after the raid.","No. 11 Commando, a unit of the UK during WWII, was formed in 1940 and participated in various operations including the invasion of Vichy French Syria. The Commando was disbanded due to depleted manpower and its commanding officer, Lt Col Geoffrey Keyes, received a posthumous Victoria Cross for his bravery in Operation Flipper.",,UK,"FR, SY, UK",,"March 4, 2019 8:48 PM","April 10, 2024 3:51 AM",,,"Geoffrey Keyes, Moshe Dayan, Paddy Mayne","Combined Operations Assault Group, No. 10 Commando, Special Operations Executive",,"Mediterranean, Middle East, North Africa",No 11 Commando (https://www.notion.so/No-11-Commando-ff798ad1b24c471e8185e3ab7fb37778?pvs=21),Commando Veterans Archive,"Marine Corps Amphibious Reconnaissance Company, Navy Scouts and Raiders, Special Operations Task Force","Commando, UK, WWII",http://www.commandoveterans.org/11Commando,"June 23, 1940",
No. 12 Commando,"- Formation Date: August 5, 1940
- First Combat Action: December 26, 1941 (Operation ""Anklet"")
- Notable Operations:
- Operation ""Chess"" (Aborted on July 27, 1941)
- Operation ""Chariot"" (Raid on St. Nazaire)
- Operation ""Basalt"" (October 3-4, 1942)
- Disbandment: Autumn of 1943","No. 12 Commando, formed in 1940, was a unit of volunteers from Irish Regiments known for small raiding and sabotage operations during WWII, including notable actions in the Lofoten Islands and St. Nazaire, before being disbanded in 1943 as roles evolved to shock infantry.",,UK,"EIRE, NORTHERN IRELAND, UK",,"March 4, 2019 8:48 PM","May 26, 2025 5:17 AM",,,,"1st Ranger Battalion, 2nd Army Commando, 3rd Special Raiding Squadron, 4th Independent Commando, No 8 Commando, Royal Marines Boom Patrol Detachment",,"France, Northern Europe, UK",No 12 Commando (https://www.notion.so/No-12-Commando-f93498107e964250a5e71896f3ebba27?pvs=21),Commando Veterans Archive,"No. 1 Commando, No. 5 Commando, No. 6 Commando","Commando, UK, WWII",http://www.commandoveterans.org/twelve_commando,,
No. 14 Commando,"- Formation of No. 14 Commando: December 3, 1942
- Authority for disbandment: July 15, 1943
- Completion of disbandment: August 1943
- Key operations: Operation Crackers and Operation Checkmate","No. 14 Commando was a short-lived unit formed in December 1942 for Arctic operations in Norway, consisting of a boating and skiing troop. It was disbanded in August 1943 after participating in operations such as Crackers and Checkmate, with its headquarters initially in Inverness-shire.",,UK,"CAN, UK",,"March 4, 2019 8:49 PM","April 10, 2024 3:51 AM",,,,"6 Commando, Arctic Operations Unit, No. 12 Commando",,"Arctic, Northern Europe, Scandinavia",No.14 Commando (https://www.notion.so/No-14-Commando-080b40bc68d04e6f8367071e6856d9a1?pvs=21),Commando Veterans Archive,"Arctic Special Operations Group, Cold Weather Warfare Unit, Marine Corps Amphibious Reconnaissance Company","Commando, UK, WWII",http://www.commandoveterans.org/14Commando,,
Layforce,,"Layforce was a combined force of UK Army Commando units, initially known as 'Force Z', created for operations in the Eastern Mediterranean during WWII. It consisted of three UK-based Commandos and three Middle East Commandos. Upon arriving at Suez, the force was renamed Layforce and its units were reorganized. The document provides further details about Layforce.",,UK,"BRITAIN, UK, United Kingdom",,"March 4, 2019 8:49 PM","September 19, 2020 2:26 PM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/LayforceCommando,,
No. 51ME Commando,,"This document provides a detailed account of the actions and accomplishments of 51 Middle East Commando during the East Africa campaign in World War II. The Commando played a significant role in battles such as Keren and Amba Alagi, demonstrating courage, determination, and resourcefulness in the face of difficult terrain and enemy resistance. The document includes citations for several individuals who displayed exceptional bravery and leadership during these operations.",,UK,"Egypt, Palestine, UK",,"March 4, 2019 8:49 PM","April 10, 2024 3:51 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/51MEComando1941,,
No. 40RM Commando,"- Formation Date: February 14, 1942 (as The RM Commando)
- Designation Change: Renamed to No. 40 Royal Marine Commando
- Disbandment Date: Early October 1946
- Formation of New 40 Commando: A few months after disbandment (specific date not provided)","No. 40RM Commando was a Royal Marine Commando formed during World War II. They participated in notable actions such as Dieppe, St Benere, Termoli, Anzio, Dalmatian Islands, and Lake Comacchio. The commando was disbanded in October 1946, but a new 40 Commando, Royal Marines, was formed shortly after and saw service in various locations.",,UK,"AUS, CAN, UK",,"March 4, 2019 8:50 PM","April 10, 2024 3:51 AM",,,,"No. 39 Commando, No. 51 Commando, Royal Marines Boom Patrol Detachment",,"Borneo, Palestine, UK",No 40 (RM) Commando (https://www.notion.so/No-40-RM-Commando-53f2cfa57b2d4c6a99349108207cafe3?pvs=21),Commando Veterans Archive,"40 Commando Group, New Royal Marine Commando, Royal Marine Special Operations","Commando, UK, WWII",http://www.commandoveterans.org/40RMCommando,,
"No. 41RM Commando ","- Formed as No. 41 Royal Marine Commando on October 10, 1942
- Disbanded on February 20, 1946
- Reformed on August 16, 1950 as 41 (Independent) Commando
- Served in Korea and disbanded again on February 22, 1952
- Reformed on March 31, 1960 as 41 Commando RM
- Served in Kenya, Norway, and the West Indies
- Disbanded on April 30, 1977, but reformed in the autumn of that year
- Operated in Cyprus and Northern Ireland
- Disbanded again in 1981 at Deal, Kent","No. 41RM Commando was a Royal Marine commando unit that was formed and disbanded multiple times. It served in various operations during World War II, Korea, Kenya, Norway, the West Indies, Cyprus, and Northern Ireland.",,UK,"AUS, CAN, UK",,"March 4, 2019 8:50 PM","April 10, 2024 3:51 AM",,,,"1st Ranger Battalion, 8th RM Battalion, No 8 Commando",,"East Africa, Northern Europe, UK",No 41 (RM) Commando (https://www.notion.so/No-41-RM-Commando-79cb16343dfe41c5a33364d2b74fe6d4?pvs=21),Commando Veterans Archive,"Commando Special Forces Unit, Navy Scouts and Raiders, Royal Marine Special Operations Group","Commando, UK, WWII",http://www.commandoveterans.org/41RMCommando,,
No. 42RM Commando,"- Formation: 1st August 1943 (as No. 42 Royal Marine Commando)
- Commando training began: 5th October 1943
- Arrival in Bombay: 20th January 1944
- Embarked for Calcutta: 3rd October 1944
- Unopposed landing at Akyab: 3rd January 1945
- Assault on Myebon peninsula: 12th January 1945
- Battle for Hill 170: 31st January 1945
- Redesignated 42 Commando RM: early 1946","No. 42 Royal Marine Commando was formed on August 1, 1943, and underwent Commando training before being deployed to the Far East. They participated in significant operations, including the unopposed landing at Akyab on January 3, 1945, and the Battle for Hill 170 on January 31, 1945. The unit was redesignated as 42 Commando RM in 1946 and continued postwar operations in various regions, including Malaya and Northern Ireland.",,UK,"ENG, GB, UK",,"March 4, 2019 8:51 PM","November 17, 2025 9:53 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/42RMCommando,,
No. 43RM Commando,"Key dates for No. 43RM Commando:
- Formed: August 1, 1943
- Disbanded: September 1945
- Fought in Operation Roast: April 1945
- Reformed: September 5, 1961
- Disbanded again: Mid-November 1968
- New 43 Commando RM formed: 2012","No. 43RM Commando, a Royal Marine Commando unit, was formed in August 1943 and disbanded in September 1945. They were involved in operations in Italy and the Dalmatian Islands during World War II. They were reformed in September 1961 and disbanded again in mid-November 1968. In 2012, a new 43 Commando RM was formed, responsible for protecting the nation's nuclear deterrent and combating modern-day pirates.",,UK,"Australia, Canada, UK",,"March 4, 2019 8:51 PM","April 10, 2024 3:51 AM",,,,"1st Special Service Brigade, No. 2 Commando, No. 43 Commando",,"Commonwealth, Italy, Mediterranean",No 43 (RM) Commando (https://www.notion.so/No-43-RM-Commando-95fd89624d5d4d7ca956304c69d764a5?pvs=21),Commando Veterans Archive,"Marine Corps Amphibious Reconnaissance Company, Royal Marine Fleet Protection Group, UK Maritime Special Operations","Commando, UK, WWII",http://www.commandoveterans.org/43RMCommando,,
No. 44RM Commando,"- Formation: August 1, 1943
- Commando Depot training: September 7 - October 2, 1943
- Redesignation to 44 Commando RM: Post-war in 1946
- Further redesignation to 40 Commando RM: March 16, 1947","No. 44RM Commando was formed from the disbanded 3rd Battalion, Royal Marines in August 1943. They underwent training at Ashurst and Achnacarry before being deployed to the Far East, Burma, and Trincomalee as part of 3 Special Service Brigade. After the war, they were redesignated as 44 Commando RM and later as 40 Commando RM.",,UK,"BRITAIN, GB, UK",,"March 4, 2019 8:51 PM","September 19, 2020 2:29 PM",,,,"3rd Battalion, Royal Marines",,"British India, Burma, Southeast Asia",No 44 (RM) Commando (https://www.notion.so/No-44-RM-Commando-081e2b48d45543dda583466d1bc5caa4?pvs=21),Commando Veterans Archive,"40 Commando RM, British Special Operations Forces, Royal Marine Commando Units","Commando, UK, WWII",http://www.commandoveterans.org/44RMCommando,,
"No. 45RM Commando ","- Formation Date: August 1943 - Formed as No. 45 Royal Marine Commando.
- First Commanding Officer: Lt. Col. N.C. Ries.
- Commando Depot Training: November 26, 1943 - Moved to Achnacarry for Commando course.
- Advanced Training: January 19, 1944 - Moved to the Combined Training Centre (CTC) at Dorling.
- Landing in Normandy: June 6, 1944 - Landed on Sword Beach as part of the 1st Special Service Brigade.
- Return to England: September 7, 1944 - Brigade returned to England to refit.
- Embarkation for Ostende: January 14, 1945 - Embarked at Tilbury Docks.
- Victoria Cross Award: During operations at Brachterbeek, Lance Corporal H.E. Harden awarded the Victoria Cross.
- Post-War Redesignation: March 1946 - Redesignated as 45 Commando Royal Marines.
- Return to the UK: 1967 - Returned to the UK after 24 years of operational service abroad.
- Current Base: Moved to Arbroath in 1971.
- Operation Corporate: 1982 - Participated in the recapture of the Falkland Islands.
- Recent Deployment: 1991 - Deployed to Northern Iraq for humanitarian assistance.","No. 45RM Commando, a Royal Marine Commando unit, was formed in August 1943 and played a significant role in the history of Japan's economy in the 80s. The Commando underwent rigorous training and became part of No 1 Special Service Brigade. They landed on Sword Beach on June 6, 1944, and participated in operations in France. After the war, the Commando was not disbanded and was redesignated as 45 Commando Royal Marines. They were deployed on various operations and have been involved in conflicts such as the Falklands War and operations in Afghanistan.",,UK,,,"March 4, 2019 8:51 PM","April 10, 2024 3:51 AM",,,,"1st Special Service Brigade, 5th Royal Marine Battalion, No. 6 Commando",,"Falkland Islands, France, Northern Iraq",No 45 (RM) Commando (https://www.notion.so/No-45-RM-Commando-51fd994a8d054b34b1e2d031a05fb768?pvs=21),Commando Veterans Archive,"Combined Operations Task Force, Navy Scouts and Raiders, Royal Marine Special Operations Unit","Commando, UK, WWII",http://www.commandoveterans.org/45RMCommando,,
No. 46RM Commando,"Key Dates for No. 46RM Commando:

- August 1, 1943: Redesignation of the 9th RM Battalion to No. 46 Royal Marine Commando.
- September 11, 1943: Commando parades in Dorchester wearing Green berets.
- October 23, 1943: Move to the Commando Depot, Achnacarry for training.
- November 9, 1943: Completion of Commando training course.
- January 3, 1944: Rejoin 4th Special Service Brigade.
- June 7, 1944: Landed on Nan White Beach at Bernieres during D-Day.
- End of September 1944: Withdrawn to the UK after heavy casualties.
- January 1945: Returned to North West Europe, engaging in operations in Belgium and Germany.
- February 1946: Disbandment of No. 46 Royal Marine Commando.","No. 46RM Commando was a Royal Marine Commando unit from the UK during World War II. The unit underwent training and participated in various operations, including the allied invasion of North West Europe. They saw action in Belgium and Germany before being disbanded in February 1946.",,UK,"ENG, GB, UK",,"March 4, 2019 8:52 PM","April 10, 2024 3:51 AM",,,,"4th Special Service Brigade, 9th RM Battalion, No. 46 Commando",,"Europe, UK, Western Europe",No 46 (RM) Commando (https://www.notion.so/No-46-RM-Commando-c20b90c838ea4f6da4d6eacb51d79d9c?pvs=21),Commando Veterans Archive,"Marine Corps Amphibious Reconnaissance Company, Royal Marine Commandos, Special Boat Service","Commando, UK, WWII",http://www.commandoveterans.org/46RMCommando,,
"No. 47RM Commando ","- Formation Date: August 1, 1943
- Disbandment Date: January 31, 1946
- Key Operations: Norway, Normandy, Port-en-Bessin, Orne Line, Le Havre, Walcheren, Maas, Schedlt Estuary","No. 47RM Commando was formed as a Royal Marine Commando in August 1943 and disbanded in January 1946. They participated in various operations during World War II, including in Norway, Normandy, and Walcheren. For more information and images, visit the Commando Veterans Archive website.",,UK,"ENG, GB, UK",,"March 4, 2019 8:52 PM","April 10, 2024 3:51 AM",,,,"10th Battalion Royal Marines, No. 47 Commando, Royal Marine Commando",,"Northern Europe, UK, Western Europe",No 47 Commando (https://www.notion.so/No-47-Commando-31b362dbb0414542b2c33df67efd80e9?pvs=21),Commando Veterans Archive,"British Amphibious Assault Unit, Marine Corps Amphibious Reconnaissance Company, Royal Marine Special Operations Group","Commando, UK, WWII",http://www.commandoveterans.org/47RMCommando,,
"No. 48RM Commando ","Key Dates for No. 48RM Commando:

- Formation: March 2-13, 1944
- D-Day Operations: June 6, 1944 (landed on Nan Red Sector of Juno Beach)
- Assault on Walcheren Beaches: October 31, 1944
- Organizational Change: March 1945 (Lt Col Moulton promoted to Brigadier; Lt Col Martin Price takes command)
- Disbandment: January 31, 1946","No. 48RM Commando was the last Commando unit raised during WWII. They participated in the D-Day operations, landed on Juno Beach, and continued to fight in various operations until their disbandment in January 1946.",,UK,"BRITAIN, GB, UK",,"March 4, 2019 8:52 PM","April 10, 2024 3:51 AM",,,,"4 Special Service Brigade, 7th Battalion Royal Marines, No. 48 Commando",,"France, Juno Beach, North Europe",No 48 Commando (https://www.notion.so/No-48-Commando-60142ac75ce2453bb6e4d3c538d62d89?pvs=21),Commando Veterans Archive,"British Joint Special Forces, Marine Corps Amphibious Reconnaissance Company, Royal Marine Special Operations Group","Commando, UK, WWII",http://www.commandoveterans.org/48RMCommando,,
RM Engineer Commando,,"The RM Engineer Commando was a unit formed from RM Battalions during WWII, specializing in demolitions and assault engineering. They played a role in the Normandy invasion, serving in mine clearing, bridge demolition, and building strongpoints. They also had sections serving in the Far East. Landing Craft Obstruction Clearance Units were part of the unit and cleared beach obstacles during the Normandy landings.",,UK,"AUS, CAN, UK",,"March 4, 2019 8:52 PM","April 10, 2024 3:51 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/RMEngineerCommando,"October 25, 1943",
Special Service Brigade & Signals Troops,"- 1940: Formation of the Special Service Brigade, consisting of five Special Service Battalions and an HQ under Brigadier J.C. Haydon.
- 1943: Replacement of the single Brigade with four Special Service Brigades following the introduction of the new Royal Marine Commando units.","The Special Service Brigades, later known as Commando Brigades, were established in 1940 and initially consisted of five battalions. By 1943, they were reorganized into four brigades under Major General Robert Grice Sturges. Commando signallers were attached to these brigades, operating alongside Army Commandos as needed. The brigades were deployed in various regions, including North West Europe, Italy, Yugoslavia, and Burma, with personnel often temporarily attached for specific operations. Additional resources and historical information can be found in the Commando Veterans Archive.",,UK,"ENG, GB, UK",,"March 4, 2019 8:53 PM","April 10, 2024 3:51 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/SpecialServiceBde,,
RN Beach Commando units🐸,,"RN Beach Commando units, initially known as Naval Beach Parties and later redesignated as Royal Naval Beach Commandos, played a significant role in WWII. After the war, they were again redesignated as Naval Beach Control Parties. Transcripts of National Archives document file DEFE 2/987 relating to each RN Beach Commando unit can be found at the provided URL.",,UK,"British Isles, Maritime UK, UK",,"March 4, 2019 8:55 PM","April 10, 2024 3:50 AM",,,,,,,,Commando Veterans Archive,,"Commando, Naval Units, UK, WWII",http://www.commandoveterans.org/RNCommandosHistoryA_B,,
A history of 'W' Commando,"- August 1943: 'W' Commando assigned overseas to HMS Armadillo in Scotland.
- February 1944: Completion of basic training at HMS Armadillo.
- July 24, 2025: Planned sales meeting regarding further developments or insights into the history of 'W' Commando.
- June 6, 1944: Normandy landings at Juno Beach, taking over positions from 'P' Commando.","'W' Commando, composed of Royal Canadian Navy volunteers, was formed in 1943 to manage the flow of troops and supplies on Juno Beach during D-Day. Their rigorous training included beach landings, chemical warfare, and demolition techniques. They played a crucial role in the Normandy invasion, guiding landing craft and managing logistics under fire, ultimately contributing to the success of the operation and the disbandment of the unit afterward.",,Canada,"COMMONWEALTH, Canada, UK",,"March 4, 2019 8:55 PM","November 10, 2025 7:43 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/RNCommandosWSectionCanada,,
